title,link,view,upload_date
기후 위기에서 살아남는 법 | 곽재식 숭실사이버대학교 환경안전공학과 교수 #환경 #생존 #전략  @부천문화재단 ?,https://youtube.com/watch?v=bOBpUEN0jiE&pp=ygUG7ZmY6rK9,519회,1년 전
"홍수, 가뭄, 화재.. “지옥으로 가는 길을 돌이킬 수 없을 것이다” [21-22 UHD환경스페셜 기후변화 특집 지구의 경고 8편 그랜드 에필로그 위대한 전환] KBS 211216",https://youtube.com/watch?v=R8D64WD02DQ&pp=ygUG7ZmY6rK9,16만회,9년 전
환경탐정 푸루 4화(토양오염 편),https://youtube.com/watch?v=gXioTiVyG2E&pp=ygUG7ZmY6rK9,198만회,3일 전
"""자연 파괴에 책임 느껴""‥전 재산 환경단체 기부 (2024.04.12/뉴스데스크/광주MBC)",https://youtube.com/watch?v=-oocdGIiF1k&pp=ygUG7ZmY6rK9,8.5만회,10개월 전
"환경단체, 트레비 분수에 '먹물 테러'‥""오히려 30만 톤 물 낭비"" (2023.05.22/뉴스데스크/MBC)",https://youtube.com/watch?v=spJNZq7fPeQ&pp=ygUG7ZmY6rK9,34만회,3년 전
"환경 보호에 진심인 한국인, 그런데 해조류를 곁들인｜크랩",https://youtube.com/watch?v=T7LzVtGDwXI&pp=ygUG7ZmY6rK9,7.2만회,2년 전
"장항석 교수 | 꾸준히 증가하는 암, 환경 오염 때문일까? 인류 문명의 대전환을 가져다준 질병 대란 [환경읽어드립니다]",https://youtube.com/watch?v=OYO4DoAl9ro&pp=ygUG7ZmY6rK9,10만회,4년 전
입천장 까지도록 와그작이 알려주는 환경 지키는 7가지 꿀팁,https://youtube.com/watch?v=NcSUweIWMTc&pp=ygUG7ZmY6rK9,26만회,7개월 전
[자막뉴스] 환경 보호하려고 환경 파괴? 반년이 지나 다시 가봤습니다 / YTN,https://youtube.com/watch?v=5IU5rsSzl0o&pp=ygUG7ZmY6rK9,50만회,1년 전
[삼림파괴 주식회사②] 친환경 연료 만든다며 동남아 환경 파괴..공급망 추적 - 뉴스타파,https://youtube.com/watch?v=Z40VEaf3Dbs&pp=ygUG7ZmY6rK9,2.7만회,1년 전
"살아있는 젖소 뱃속에서 나온 90Kg의 비닐 쓰레기! [UHD환경스페셜2 11편 글로벌 환경 기획, 불편한 질문] / KBS 20230304 방송",https://youtube.com/watch?v=DUa_-b2Lmuo&pp=ygUG7ZmY6rK9,12만회,3년 전
도시와 바다의 환경 문제를 한번에 해결하는 26살 청년의 아이디어,https://youtube.com/watch?v=VJAt3DcgrPg&pp=ygUG7ZmY6rK9,3.4만회,1년 전
[밀착카메라] 깨끗한 거리 만드는 환경미화원…정작 노동 현실은 / JTBC 뉴스룸,https://youtube.com/watch?v=68uwrG7O6Q4&pp=ygUG7ZmY6rK9,6.8천회,5년 전
민주당 부산시의원 환경미화원 임금 발언 논란 / 비디오머그,https://youtube.com/watch?v=mMEGfNVb7-k&pp=ygUG7ZmY6rK9,4.1만회,1년 전
환경영향평가 45년 만에 손질…‘의무’→‘선별’평가 추진 / KBS  2022.08.26.,https://youtube.com/watch?v=O-z66oRULOU&pp=ygUG7ZmY6rK9,5.2만회,3년 전
독일 프라이부르크가 환경도시로 거듭난 이유 [다큐ON] 20201010 (KBS 201010 방송),https://youtube.com/watch?v=BkhiNtZwo-o&pp=ygUG7ZmY6rK9,1.5만회,10개월 전
환경교육사 홍보영상,https://youtube.com/watch?v=naO_Jt2R_xM&pp=ygUG7ZmY6rK9,246만회,1년 전
환경송!??????  지구를 사랑하는 일,https://youtube.com/watch?v=WHbcv6VVJG0&pp=ygUG7ZmY6rK9,4.3천회,5년 전
함께해요 환경사랑,https://youtube.com/watch?v=SP19UPKNBLE&pp=ygUG7ZmY6rK9,8만회,1년 전
"또 환경미화원 추락, 의식불명…안전지침 있는데 현장은 / SBS 8뉴스",https://youtube.com/watch?v=2vVhW611_h8&pp=ygUG7ZmY6rK9,2.8천회,3년 전
"??3,4,5,6 환경기념일ㅣ3,4,5,6 Environment day",https://youtube.com/watch?v=1kIH8SyrzuM&pp=ygUG7ZmY6rK9,7천회,1년 전
환경단체 먹물 투척 시위에 '로마의 휴일' 촬영 명소 검게 변해 #shorts,https://youtube.com/shorts/sQqZLn5QOss,21만회,7년 전
한국환경공단 - 인간도 멸종될 수 있습니다,https://youtube.com/watch?v=MqUCO-UZCCo&pp=ygUG7ZmY6rK9,4.3만회,1년 전
"""케이블카는 환경 파괴"" ↔ ""등산객 줄어 오히려 도움""",https://youtube.com/watch?v=YqlpzrjUFYc&pp=ygUG7ZmY6rK9,4.8천회,1개월 전
"유전자, 환경 뿐만 아니라 엄마 뱃속에서의 삶의 질이 나머지 삶을 끌고 간다는 '태아 프로그래밍' 이론ㅣ출산율을 걱정하는 시대, 오히려 출산의 질에 주목한다ㅣ다큐프라임ㅣ#골라듄다큐",https://youtube.com/watch?v=eQ7FnUP9A_I&pp=ygUG7ZmY6rK9,14만회,4년 전
"[티비냥] 플라스틱으로 죽어가는 지구와 동물들, 생각보다 더 충격적인 환경 오염 | 프리한19 181218 #3",https://youtube.com/watch?v=BaeVPJ0dhC4&pp=ygUG7ZmY6rK9,25만회,11개월 전
[기상센터] 기후변화를 줄이는…간단한 '환경보호' 실천법 / JTBC 뉴스룸,https://youtube.com/watch?v=4ho4mQBMduw&pp=ygUG7ZmY6rK9,1.1만회,5일 전
[인천환경공단] 안전홍보영상 - Start Now! Safety First!,https://youtube.com/watch?v=8QqxvhVLuJA&pp=ygUG7ZmY6rK9,48만회,6일 전
환경사업 통합 브랜드 're' 시작,https://youtube.com/watch?v=a5b46Hk-UQI&pp=ygUG7ZmY6rK9,7.9만회,1년 전
기후변화로 몸살 앓는 지구별...환경시위도 독해졌다 / YTN,https://youtube.com/watch?v=CI7eeWUMwtI&pp=ygUG7ZmY6rK9,2.4천회,1년 전
쓰레기에 중독된 코끼리 [UHD환경스페셜2 5편 데드존1-플라스틱 코끼리] / KBS 20230114 방송,https://youtube.com/watch?v=ouruW-J4-0U&pp=ygUG7ZmY6rK9,217회,10개월 전
